00000,01000,00100,01100,00010,01010,00110,01110,00001,01001,00101,01101,00011,01011,00111,01111
0,0,3,1,0,0,0,0,0,0,0,0,2,4,0,7
0,0,1,0,0,3,0,1,7,0,12,0,0,0,0,21
0,0,1,0,0,0,0,0,2,0,5,1,0,0,0,42
0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,49
0,0,10,0,0,1,0,0,2,0,0,0,0,5,0,17
0,0,1,3,1,0,0,2,6,0,1,0,4,0,0,118
0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,14
0,1,3,0,1,4,0,0,2,0,17,0,0,0,0,31
0,0,4,0,1,5,0,0,6,0,12,0,1,0,0,17
0,0,1,0,1,3,0,0,3,0,8,1,0,0,0,25
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26
0,0,4,5,0,2,0,0,1,0,3,0,2,0,0,45
0,0,2,0,0,1,0,0,5,0,11,0,2,0,0,35
0,0,2,0,1,0,0,0,4,0,7,0,0,0,0,43
0,0,17,4,0,0,0,0,0,0,0,0,5,7,0,30
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,4,0,1,4,0,0,4,0,7,0,0,0,0,24
0,0,7,3,0,2,0,0,1,0,9,1,2,0,0,39
0,2,4,0,6,5,0,0,8,0,18,0,0,1,0,36
0,0,2,1,0,2,0,1,6,0,5,0,2,0,0,14
0,0,2,0,3,3,0,0,1,0,6,0,0,0,0,17
0,0,5,4,0,0,0,0,2,0,0,0,3,0,0,26
0,2,6,6,0,41,0,0,14,0,13,0,3,0,0,19
0,1,6,0,4,29,0,0,12,0,32,3,2,0,0,62
0,6,11,0,0,9,0,2,11,0,14,0,0,0,1,44
0,1,8,0,5,10,0,1,8,0,12,1,2,0,0,112
0,1,1,0,2,4,0,0,1,0,2,0,4,0,0,26
0,2,3,2,4,5,0,0,6,0,10,0,0,0,2,43
0,0,3,2,0,0,0,0,0,0,0,0,8,0,0,47
0,0,4,0,0,12,0,0,0,0,12,0,0,0,0,27
0,1,11,0,0,1,0,1,3,0,17,0,3,0,0,33
0,3,4,0,2,1,0,0,8,0,4,0,0,0,1,16
0,2,15,3,10,13,0,1,11,0,22,1,3,0,1,80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,1,7,0,0,7,0,1,8,0,20,0,0,0,0,21
0,0,4,3,5,0,0,0,8,0,16,0,3,0,0,26
0,3,11,3,9,11,0,0,7,0,28,0,6,1,1,61
0,0,4,0,1,2,0,0,3,0,3,0,0,2,0,10
0,0,3,2,0,1,0,0,3,0,0,0,0,0,0,37
0,1,4,1,5,3,0,0,7,0,32,1,0,1,0,18
0,2,18,1,2,2,0,0,1,0,4,0,1,6,0,22
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,19
0,1,5,0,2,7,0,0,7,0,6,0,0,0,0,18
0,0,3,0,4,20,0,0,12,0,19,0,0,3,0,34
0,0,2,1,0,2,0,0,1,0,10,0,2,0,0,70
0,0,24,1,0,0,0,0,0,0,0,0,1,6,0,46
0,1,4,7,3,3,0,0,3,0,10,1,2,0,0,23
0,0,2,0,1,2,0,0,3,0,5,0,1,0,0,10
0,1,4,0,0,10,0,0,8,0,4,0,2,5,0,18
0,1,1,1,1,30,0,0,5,0,17,0,0,4,1,37
0,0,10,2,17,23,0,1,14,0,21,0,2,1,0,61
0,5,6,0,13,4,0,0,7,0,13,4,1,0,0,25
0,1,13,4,0,0,0,0,0,0,0,0,17,8,0,47
0,0,6,0,0,0,0,1,0,0,5,0,2,0,0,25
0,1,11,0,0,18,0,0,17,0,18,0,1,1,0,91
0,1,3,0,0,0,0,0,2,0,3,0,0,0,0,23
0,1,10,0,1,0,0,0,3,0,7,3,0,0,0,66
0,3,14,1,6,32,0,0,32,0,24,1,0,0,0,145
0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,41
0,0,1,0,6,3,0,0,6,0,7,0,0,0,0,45
0,0,5,0,0,1,0,4,6,0,0,0,1,0,0,18
0,0,13,0,1,2,0,2,10,0,0,0,0,1,0,95
0,0,3,0,1,0,0,4,3,0,0,0,1,0,0,24
0,0,3,2,9,0,0,0,12,0,0,2,2,2,0,85
0,0,1,0,3,0,0,1,7,0,0,0,2,1,0,24
0,0,3,1,2,0,0,0,4,0,0,0,1,4,0,63
0,1,22,1,7,0,0,4,30,0,1,2,3,0,0,131
0,1,5,4,3,0,0,0,10,0,0,0,1,0,0,53
0,0,5,6,1,0,0,0,9,0,0,0,5,0,0,22
0,0,4,0,0,0,0,0,5,2,2,1,1,0,1,46
0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,20
0,0,5,0,0,0,0,0,2,0,0,0,2,0,1,36
0,1,3,1,1,0,0,1,10,0,1,2,0,2,0,19
0,0,7,1,0,0,0,0,3,1,0,0,3,1,0,18
0,0,9,0,2,5,0,0,7,0,6,0,0,0,1,43
0,2,0,0,1,0,0,0,4,0,3,0,1,0,2,24
0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,34
0,6,8,1,12,2,0,0,8,0,7,3,2,1,0,83
0,0,3,0,0,1,0,0,2,0,2,0,0,0,0,12
0,0,11,0,0,2,0,0,0,0,2,0,1,3,0,33
0,1,5,0,4,45,0,0,4,0,13,0,1,0,0,25
0,0,4,0,0,10,0,0,3,0,2,0,4,1,0,20
0,1,5,0,7,12,0,0,9,0,25,1,0,0,0,83
0,0,7,0,8,2,0,0,10,0,10,1,0,0,0,58
0,0,10,0,0,0,0,0,1,0,3,0,3,0,0,37
0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,17
0,0,4,0,1,0,0,0,2,0,2,0,0,0,0,37
0,0,0,1,2,0,0,2,3,0,0,0,3,0,0,23
0,4,6,1,11,12,0,0,11,0,14,3,0,0,0,58
0,0,9,1,14,9,0,2,12,0,14,2,3,0,0,50
0,0,6,0,9,1,0,2,9,0,8,0,0,0,0,61
0,2,12,1,4,9,0,0,9,0,9,0,0,1,0,124
0,2,3,0,2,0,0,0,0,0,1,0,0,0,1,49
0,0,0,9,4,0,0,14,19,0,0,0,3,0,0,49
0,0,1,0,2,3,0,0,9,0,4,0,0,1,0,37
0,0,4,0,4,1,0,0,4,0,7,1,2,0,0,55
0,1,2,3,5,5,0,0,7,0,18,0,3,0,0,26
0,1,4,4,2,6,0,1,4,0,4,0,6,0,0,40
0,0,3,7,2,0,0,0,4,0,6,0,1,0,0,43
0,1,4,0,2,17,0,0,3,0,34,0,0,0,0,40
0,1,8,0,1,1,0,0,1,0,14,0,2,3,0,28
0,1,4,0,1,14,0,1,0,0,7,0,3,0,0,48
0,4,3,1,4,10,0,0,7,0,20,0,0,0,1,21
0,2,2,0,1,14,0,0,6,0,12,0,2,0,0,22
0,1,5,2,1,15,0,0,6,0,15,0,2,5,0,34
0,1,3,0,9,10,0,0,5,0,2,0,1,1,1,38
0,1,2,0,4,3,0,0,6,0,5,0,0,0,0,48
0,0,0,0,2,6,0,0,5,0,12,0,0,0,0,24
0,1,3,0,2,12,0,0,1,0,18,0,4,0,0,29
0,2,3,0,3,11,0,0,4,0,5,0,2,0,0,43
0,1,6,0,1,12,0,0,5,0,5,0,1,1,0,26
0,0,2,0,5,3,0,0,2,0,2,0,3,1,0,18
0,3,2,0,4,9,0,1,8,0,7,0,0,0,0,38
0,0,4,1,0,5,0,0,9,0,8,0,1,0,0,46
0,0,2,0,2,7,0,0,3,0,6,2,0,0,0,26
0,1,2,0,0,11,0,0,4,0,10,0,1,0,0,24
0,0,8,0,3,9,0,0,5,0,6,0,1,0,0,22
0,4,8,0,7,16,0,1,12,0,18,1,0,1,0,78
0,1,2,2,3,9,0,0,3,0,6,0,1,0,0,12
0,2,5,2,0,1,0,0,6,0,7,0,0,1,0,35
0,0,2,0,0,7,0,0,4,0,3,0,0,0,0,13
0,0,14,1,1,16,0,0,9,0,5,0,1,0,0,51
0,8,27,3,13,43,0,1,38,0,48,0,4,1,2,147
0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,4
0,0,1,0,1,3,0,2,3,0,8,0,0,2,0,22
0,2,3,0,7,12,0,0,8,1,8,0,1,0,0,81
0,1,12,0,3,6,0,0,7,0,10,0,0,1,0,26
0,0,1,4,0,2,0,0,0,0,7,0,3,0,0,18
0,1,2,0,3,2,0,0,2,0,1,0,0,0,0,15
0,4,4,1,9,12,0,0,17,0,16,0,1,0,1,100
0,1,3,0,0,2,0,0,7,0,10,0,0,1,0,44
0,9,14,0,9,16,0,1,25,0,20,1,1,0,0,66
0,2,2,2,8,1,0,0,4,0,7,2,2,0,2,14
0,1,10,0,7,5,0,0,8,0,6,1,0,0,2,23
0,0,0,0,1,6,0,0,2,0,18,0,0,0,0,23
0,3,6,3,3,17,0,1,9,0,20,0,1,2,0,33
0,0,1,0,2,6,0,0,5,0,4,0,0,1,0,23
0,0,5,0,0,5,0,1,5,0,5,0,0,0,0,28
0,0,0,0,2,6,0,0,6,0,5,0,0,0,0,17
0,1,9,0,2,5,0,0,4,0,4,0,2,5,0,17
0,1,4,1,5,9,0,0,4,0,6,0,2,0,0,48
0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,25
0,1,5,0,4,5,0,1,6,0,9,0,1,0,0,16
0,3,11,0,6,9,0,0,8,0,19,0,1,1,0,49
0,1,4,0,1,7,0,0,0,0,4,0,0,2,0,13
0,3,3,0,1,13,0,2,5,0,7,0,1,0,0,42
0,0,4,0,0,9,0,1,3,0,12,0,0,0,0,43
0,1,1,0,0,6,0,0,2,0,2,0,1,0,0,31
0,1,4,0,5,6,0,0,8,0,7,1,0,1,0,29
0,0,5,0,1,4,0,0,6,0,3,0,1,0,0,13
0,5,7,0,6,17,0,0,13,0,20,0,1,1,0,33
0,0,5,0,0,5,0,0,2,0,3,0,0,1,0,14
0,5,4,1,8,14,0,0,9,0,20,1,0,0,1,64
0,0,8,1,2,11,0,0,8,0,17,0,2,0,0,26
0,1,7,1,1,6,0,0,5,0,8,0,2,2,0,53
0,1,0,0,2,6,0,0,3,0,2,1,0,1,0,16
0,1,5,0,2,17,0,0,7,0,14,0,0,0,0,25
0,5,2,1,4,3,0,0,4,0,5,0,1,0,0,24
0,5,5,0,9,3,0,1,14,0,6,1,0,0,2,39
0,0,3,2,3,8,0,1,6,0,7,0,1,1,0,13
0,4,2,0,4,1,0,0,1,0,1,1,0,1,1,43
0,0,4,0,1,6,0,0,12,0,16,0,0,0,0,27
0,2,4,0,3,4,0,0,6,0,2,0,0,0,0,34
0,5,11,4,4,8,0,0,9,0,13,1,1,1,0,70
0,0,10,0,5,3,0,1,9,0,3,1,0,0,0,75
0,0,0,14,4,0,0,11,21,0,0,1,3,0,0,47
0,1,5,1,3,7,0,0,4,0,6,0,1,0,0,25
0,1,4,0,11,4,0,0,8,0,6,3,0,0,1,20
0,0,4,0,3,1,0,0,11,0,1,0,0,1,0,29
0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,10
0,3,3,0,5,4,0,0,6,0,9,0,0,0,2,35
0,3,4,1,4,1,0,0,0,0,3,4,1,1,0,41
0,0,10,0,2,1,0,0,6,0,1,0,0,0,0,27
0,0,3,0,3,0,0,0,7,0,2,0,0,0,0,20
0,0,2,0,4,0,0,0,1,0,0,5,6,0,0,27
0,22,7,3,11,0,1,0,13,0,0,0,2,1,5,59
0,3,5,0,3,0,0,0,5,0,0,2,0,0,0,39
0,2,3,4,3,0,0,0,6,0,0,0,0,0,0,17
0,0,3,0,1,1,0,0,3,0,0,0,1,0,0,19
0,0,0,4,3,0,0,0,12,0,0,8,2,1,0,31
0,1,4,1,3,0,0,0,4,1,0,0,5,0,0,34
0,0,2,1,1,0,0,0,2,0,0,0,0,1,0,25
0,0,2,1,3,0,0,3,9,1,3,0,3,6,0,30
0,0,12,1,6,0,0,0,6,1,0,3,5,10,0,32
0,0,2,6,1,0,0,0,1,0,0,0,5,1,0,22
0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,33
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,36
0,0,3,16,0,0,0,0,1,0,0,0,13,0,0,61
0,0,7,1,2,3,1,6,12,0,0,1,6,0,0,40
0,0,2,1,1,0,0,0,2,0,0,0,1,0,0,27
0,0,2,4,0,0,0,0,2,0,0,0,4,0,0,43
0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,13
0,0,4,3,4,0,0,2,3,0,0,0,11,1,0,49
0,0,8,10,0,0,0,0,1,0,0,0,3,0,0,45
0,0,0,3,0,0,0,0,1,0,0,0,6,0,0,38
0,0,2,12,0,0,0,0,2,0,0,0,11,0,0,72
0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,27
0,0,1,3,0,0,0,0,3,0,0,0,2,0,0,19
0,1,6,2,0,0,0,0,1,0,0,0,6,1,0,45
0,0,4,11,0,0,0,0,3,0,0,0,14,0,0,41
0,0,4,6,0,0,0,1,3,0,0,0,15,0,0,57
0,0,1,8,0,0,0,0,1,0,0,0,7,0,0,55
0,0,1,6,0,0,0,0,1,0,0,0,7,0,0,13
0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,21
0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,28
0,0,1,6,0,0,0,0,0,0,0,0,10,0,0,34
0,1,1,4,0,0,0,0,0,0,0,0,6,0,3,20
0,1,1,2,0,0,0,0,0,0,0,0,18,0,0,52
0,0,3,17,0,0,0,0,1,0,0,0,15,1,0,46
0,0,9,3,0,0,0,0,1,0,0,0,8,0,0,29
0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,30
0,0,1,4,0,0,0,0,2,0,0,1,2,0,0,23
0,0,3,1,0,0,0,1,2,0,0,0,0,1,0,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
0,1,6,0,0,37,0,0,11,0,22,0,0,0,0,37
0,0,5,1,0,0,0,1,2,0,0,0,1,0,0,11
0,0,1,2,1,0,0,0,1,0,0,0,4,1,0,39
0,0,4,5,0,0,0,0,1,0,0,0,12,2,0,86
