00000,01000,00100,01100,00010,01010,00110,01110,00001,01001,00101,01101,00011,01011,00111,01111
0,1,2,1,0,0,0,0,0,0,0,0,5,1,0,38
0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,39
0,2,2,4,0,0,0,0,1,0,0,0,8,0,1,23
0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,14
0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,34
0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,42
0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,40
0,0,14,11,0,0,0,0,0,0,0,0,42,0,1,59
0,0,6,4,0,0,0,0,1,0,0,0,9,1,1,18
0,0,4,2,1,0,0,0,6,0,0,0,3,0,0,37
0,0,5,6,0,0,0,0,1,0,0,0,2,0,0,14
0,3,3,1,0,0,0,0,2,0,0,0,5,0,0,40
0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,28
0,0,5,0,1,0,0,0,5,0,0,0,0,0,0,39
0,0,2,17,0,0,0,0,0,0,0,0,14,0,0,36
0,2,0,11,0,0,0,0,2,0,0,0,11,0,1,62
0,0,2,1,0,0,0,0,0,0,0,0,9,0,0,34
0,1,5,1,1,0,0,1,2,0,0,0,1,0,4,18
0,2,4,0,1,0,0,0,4,0,0,0,0,0,0,35
0,0,2,2,1,0,0,0,9,0,0,0,2,0,1,19
0,0,3,0,0,0,0,1,10,0,1,0,0,0,0,32
0,1,4,1,1,5,0,0,7,0,2,0,5,2,0,39
0,0,4,0,1,2,0,0,2,0,3,0,1,1,0,21
0,1,1,0,8,12,0,4,9,0,10,0,1,1,1,49
0,2,1,1,1,2,0,0,2,0,2,0,1,0,0,16
0,1,8,0,9,0,0,0,6,0,0,3,1,0,1,35
0,3,5,0,3,2,0,0,10,0,0,0,0,0,0,38
0,0,8,0,5,1,0,0,6,0,4,0,0,1,1,56
0,1,1,2,2,4,0,1,3,0,1,0,0,1,0,35
0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,31
0,0,2,0,10,0,0,0,6,0,0,2,1,0,0,31
0,0,4,1,2,6,0,0,3,0,1,1,1,0,0,28
0,1,5,0,3,0,0,0,1,0,4,0,1,0,4,19
0,0,15,0,0,0,0,0,2,0,0,0,2,0,0,22
0,0,3,0,0,1,0,0,3,0,3,0,0,0,0,14
0,0,7,0,2,3,0,0,6,0,5,1,0,1,0,15
0,2,15,2,4,6,0,0,5,0,8,0,3,2,0,41
0,0,4,1,6,3,0,0,9,0,8,0,2,2,1,33
0,2,6,8,1,2,0,0,2,0,3,0,1,0,0,6
0,8,9,0,15,7,1,1,7,0,13,1,0,2,3,42
0,1,4,0,2,2,0,0,9,0,1,0,0,0,0,30
0,0,7,0,2,5,0,0,0,0,0,0,1,1,1,35
0,1,3,1,1,0,0,1,1,0,1,0,2,0,0,20
0,0,2,0,4,3,0,0,8,0,8,0,0,1,1,70
0,16,4,0,2,5,0,0,11,0,8,1,0,0,5,64
0,1,6,0,10,2,0,0,11,0,5,0,1,0,0,57
0,0,2,2,1,0,0,1,3,0,4,0,0,0,0,56
0,2,0,3,3,1,1,1,5,0,0,1,2,0,0,44
0,9,11,4,5,8,0,2,13,0,10,0,2,0,5,81
0,0,1,0,0,2,0,0,5,0,2,0,0,0,0,16
0,3,6,0,2,6,0,0,3,0,6,0,2,1,0,22
0,3,3,0,20,0,0,0,5,0,5,1,1,0,0,42
0,2,0,1,2,17,0,0,4,0,15,0,5,0,0,15
0,1,4,2,1,4,0,0,0,0,5,0,2,1,0,14
0,0,5,0,5,10,0,1,10,0,10,0,0,0,0,32
0,3,5,0,10,3,0,0,4,0,4,1,1,0,2,36
0,2,9,1,9,18,0,0,12,0,3,0,3,0,0,32
0,1,3,0,1,3,0,0,1,0,5,0,0,0,0,15
0,3,4,0,1,15,0,0,6,0,14,3,1,0,1,21
0,0,10,0,16,46,0,0,36,0,25,1,3,0,0,173
0,4,8,0,5,1,0,1,12,0,3,1,1,0,0,46
0,4,9,0,7,10,0,0,9,0,4,2,0,2,0,35
0,0,4,0,1,4,0,0,8,0,6,0,1,1,0,44
0,4,8,0,5,13,0,0,11,0,8,0,0,0,0,23
0,4,6,0,7,24,0,0,7,0,22,0,0,1,0,44
0,1,2,0,1,10,0,0,5,0,8,0,0,2,0,24
0,2,4,1,3,10,0,0,4,0,6,0,0,0,0,30
0,0,3,0,0,3,0,0,3,0,6,0,1,0,0,29
0,0,5,0,1,3,0,0,6,0,6,0,0,1,0,41
0,2,3,1,4,8,0,0,8,0,4,0,0,0,1,14
0,1,5,0,9,6,0,0,8,0,3,2,0,0,0,22
0,7,13,2,14,6,0,0,13,0,7,2,1,1,1,111
0,0,3,0,1,5,0,0,5,0,3,0,0,0,0,21
0,1,2,0,4,7,0,0,6,0,7,0,6,1,0,23
0,0,0,0,1,7,0,0,0,0,3,0,0,0,0,18
0,1,2,0,2,16,0,0,2,0,8,0,0,0,0,10
0,1,5,0,1,3,0,0,0,0,3,0,0,0,0,15
0,2,1,0,0,5,0,0,4,0,9,0,11,0,0,80
0,1,1,0,2,4,0,0,5,0,23,0,3,0,0,16
0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,9
0,2,4,1,10,31,0,0,8,0,32,2,5,1,0,52
0,1,1,1,3,4,0,1,2,0,5,0,1,1,0,29
0,1,7,3,6,5,0,0,12,0,14,0,2,0,1,77
0,2,11,0,4,5,0,0,5,0,4,0,0,2,0,51
0,1,5,0,0,4,0,0,1,0,2,0,4,0,0,16
0,0,1,0,1,10,0,0,5,0,9,0,0,1,0,24
0,1,3,0,1,1,0,0,5,0,7,0,1,1,0,16
0,1,5,0,5,7,0,0,11,0,17,0,0,0,0,44
0,1,12,0,7,24,0,0,13,0,40,0,3,0,0,50
0,0,9,3,1,20,0,0,15,0,16,0,4,1,0,37
0,2,4,1,2,7,0,0,3,0,7,0,0,0,0,27
0,0,4,0,1,5,0,0,4,0,11,0,2,3,0,47
0,5,3,1,3,20,0,1,14,0,20,0,1,0,0,57
0,0,4,13,3,2,0,0,6,0,6,0,2,0,0,24
0,2,6,0,3,9,0,0,6,0,12,0,0,0,0,32
0,1,3,0,2,4,0,0,7,0,4,1,1,2,0,23
0,2,4,0,2,6,0,1,9,0,6,0,0,1,0,14
0,1,3,0,4,7,0,0,4,0,6,0,0,0,0,14
0,3,4,0,5,7,0,0,7,0,12,0,0,0,0,37
0,3,4,1,4,8,0,1,13,0,13,0,2,1,0,27
0,0,1,0,2,3,0,0,6,0,5,0,1,0,0,21
0,2,10,0,7,16,0,0,12,0,20,1,0,6,0,65
0,0,3,0,1,4,0,1,3,0,3,0,0,0,0,51
0,1,2,0,0,3,0,0,3,0,3,0,0,0,0,8
0,2,8,0,9,15,0,0,7,0,11,0,0,0,1,44
0,0,3,0,0,8,0,2,7,0,6,0,0,1,0,37
0,0,1,1,1,9,0,0,1,0,5,0,0,1,0,15
0,3,5,0,3,9,0,0,2,0,8,0,0,0,0,20
0,4,8,0,4,24,0,0,9,0,23,0,0,0,0,47
0,3,4,0,5,5,0,0,9,0,12,0,0,0,0,42
0,1,8,0,1,10,0,0,4,0,8,0,8,4,0,23
0,10,28,0,22,53,0,1,32,0,51,1,0,0,1,110
0,0,4,0,1,12,0,0,3,0,17,0,1,0,0,32
0,3,1,0,8,10,0,0,4,0,21,2,3,0,0,30
0,0,1,0,4,6,0,0,1,0,8,0,1,0,0,19
0,0,2,0,2,3,0,0,12,0,12,0,0,0,1,29
0,2,10,5,2,2,0,0,2,0,2,0,5,3,2,17
0,1,4,7,5,4,0,0,2,0,38,0,4,0,0,22
0,0,2,0,1,0,0,0,2,0,15,1,1,0,0,14
0,0,0,1,0,1,0,0,4,0,7,0,6,0,0,76
0,1,1,11,6,8,0,3,2,0,5,1,18,0,0,47
0,1,1,3,0,0,0,1,0,0,0,0,2,0,0,29
0,5,7,0,10,4,0,0,11,0,3,2,1,1,1,58
0,1,0,0,2,2,0,0,0,0,2,0,1,0,0,24
0,1,3,0,2,2,0,0,4,0,2,1,1,0,0,17
0,0,3,1,5,2,0,0,6,0,4,0,0,0,1,10
0,0,0,4,1,0,0,3,9,0,0,1,1,0,0,12
0,0,2,0,0,4,0,1,17,0,1,2,2,0,0,19
0,1,1,0,0,0,0,0,1,0,24,1,0,0,1,15
0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,9
0,0,3,2,4,12,0,0,4,0,10,1,6,0,0,29
0,0,5,1,1,1,0,0,2,0,1,0,11,1,0,49
0,1,3,0,2,9,0,2,2,0,6,0,12,1,0,36
0,0,4,1,10,4,0,0,3,0,17,6,1,1,0,43
0,1,7,0,8,22,0,0,4,0,15,0,0,0,0,24
0,1,4,0,13,38,0,0,11,0,11,0,0,1,0,33
0,2,6,0,10,47,0,4,17,0,15,0,3,2,0,60
0,0,2,1,0,7,0,3,3,0,12,0,0,0,0,43
0,0,8,0,3,8,0,0,5,0,27,0,3,2,0,50
0,6,7,5,8,13,0,0,7,0,32,2,3,0,0,44
0,1,4,2,1,10,0,0,7,0,18,0,2,1,0,63
0,0,3,0,8,2,0,0,2,0,6,0,0,0,0,43
0,0,3,0,0,13,0,0,11,0,14,0,1,0,0,26
0,0,13,0,0,16,0,4,20,0,26,0,0,0,0,147
0,0,0,0,2,0,0,0,7,0,0,2,0,0,0,39
0,0,14,3,5,1,0,2,12,0,4,0,4,2,0,123
0,1,2,0,1,1,0,0,3,0,5,0,3,0,0,16
0,0,9,0,17,1,0,0,11,0,5,3,1,0,0,41
0,0,15,5,13,0,0,1,16,0,2,1,7,1,0,57
0,0,7,0,2,1,0,1,6,0,1,0,0,1,0,16
0,1,52,1,0,1,0,2,13,0,0,0,1,10,0,53
0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,12
0,0,3,1,0,0,0,0,7,0,0,0,0,0,0,17
0,0,5,0,0,0,0,0,5,0,0,0,1,0,0,8
0,0,0,1,2,0,0,1,6,0,0,0,0,0,0,6
0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,21
0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,29
0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,19
0,1,6,1,1,0,1,5,15,0,1,0,0,0,0,51
0,5,19,4,0,0,0,1,16,0,1,0,1,0,0,46
0,0,15,0,2,1,0,4,11,0,0,0,0,1,0,71
0,1,2,0,2,0,0,0,7,0,0,0,0,1,0,18
0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,36
0,0,2,1,4,0,0,0,8,0,1,0,6,0,0,21
0,1,6,3,2,0,0,0,5,0,0,0,3,2,0,62
0,0,7,2,5,0,0,0,4,0,0,1,0,1,0,40
0,1,11,1,3,1,0,0,21,1,0,0,4,3,0,71
0,2,12,0,0,0,0,0,6,0,1,0,1,0,0,35
0,1,8,3,7,0,0,1,17,0,0,1,21,1,0,81
0,0,9,0,2,0,0,0,6,0,0,1,0,1,0,101
0,1,4,1,2,0,0,0,4,0,0,0,3,0,0,39
0,0,10,0,3,5,1,5,16,0,3,0,0,1,0,67
0,0,3,1,0,1,0,2,15,0,0,1,0,0,0,46
0,0,6,2,0,2,0,0,9,0,9,0,3,0,0,71
0,0,5,1,2,0,0,0,9,0,1,2,0,0,0,44
0,1,8,0,3,0,0,0,4,0,4,0,0,0,1,47
0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,41
0,0,4,0,3,2,0,0,2,0,1,0,0,0,0,27
0,0,0,0,0,0,0,1,7,0,3,0,0,0,0,60
0,0,2,0,6,6,0,0,4,0,2,6,2,0,0,14
0,0,2,0,1,11,0,0,5,0,24,0,1,0,1,24
0,0,1,0,2,1,0,0,6,0,9,0,3,0,1,38
0,0,1,0,0,2,0,0,2,0,5,0,1,0,0,10
0,1,4,0,5,9,0,0,3,0,5,0,0,0,0,12
0,15,6,4,2,31,0,1,10,0,24,0,11,0,0,64
0,1,4,0,0,7,0,4,3,0,0,0,0,0,0,10
0,0,4,0,1,23,0,0,3,0,10,0,0,2,0,40
0,4,6,4,13,21,0,0,12,0,60,0,3,1,0,79
0,0,6,0,1,11,0,0,12,0,16,1,1,0,0,35
0,1,8,1,4,15,0,0,13,0,24,1,4,2,2,53
0,3,0,2,2,4,0,0,4,0,5,1,0,0,0,11
0,0,1,0,1,2,0,0,3,0,2,1,0,0,0,9
0,0,0,1,0,4,0,0,3,0,7,0,0,0,0,7
0,0,5,0,0,2,0,0,2,0,13,1,2,0,1,25
0,1,8,0,10,6,0,0,5,0,46,0,3,2,0,34
0,0,0,0,2,3,0,2,1,0,5,0,1,0,0,17
0,0,6,0,0,3,0,0,5,0,8,0,0,0,0,26
0,0,1,0,1,4,0,0,2,0,10,0,1,0,0,32
0,0,0,1,3,8,0,0,4,0,5,0,4,0,0,37
0,0,2,0,2,3,0,0,0,0,3,0,0,0,0,9
0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,59
0,0,6,0,1,4,0,0,6,0,31,0,0,0,1,17
0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,78
0,0,4,0,1,9,0,0,2,0,2,0,8,3,0,30
0,0,2,0,3,0,0,0,2,0,4,0,3,1,0,34
0,0,8,1,0,0,0,0,0,0,0,0,6,6,1,13
0,0,3,2,0,1,0,0,2,0,6,1,1,0,0,37
0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,46
0,0,4,0,0,11,0,0,5,0,21,1,3,0,0,45
0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,90
0,2,3,0,3,13,0,0,2,0,10,2,0,0,0,20
0,0,10,0,1,12,0,0,9,0,33,1,1,2,0,85
0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0,0,23,1,1,6,0,0,1,0,10,0,3,10,0,130
0,1,2,1,0,7,0,0,1,0,10,0,1,0,0,29
0,0,5,1,3,3,0,0,3,0,0,0,2,0,0,26
0,0,4,1,0,4,0,0,2,0,10,0,0,0,0,49
0,0,2,0,0,6,0,1,4,0,2,0,1,0,0,29
0,0,7,0,3,3,0,0,7,0,6,0,1,0,1,12
0,1,4,0,0,0,0,0,6,0,2,0,0,0,0,26
0,0,17,0,1,0,0,0,1,0,0,0,2,0,0,17
